id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q182035,Rab Butler,1950-12-10,1951-10-26,,Q337380,,
Q337380,Hugh Gaitskell,1951-10-26,1955-12-14,Q182035,Q128956,,
Q128956,Harold Wilson,1955-12-14,1961-11-02,Q337380,Q9576,,
Q9576,James Callaghan,1961-11-02,1964-10-15,Q128956,Q333275,,
Q333275,Reginald Maudling,1964-10-15,1965-02-16,Q9576,Q128967,,
Q128967,Edward Heath,1965-02-16,1965-11-11,Q333275,Q333182,,
Q333182,Iain Macleod,1965-11-11,1970-06-20,Q128967,Q323488,,
Q323488,Roy Jenkins,1970-06-20,1972-04-19,Q333182,Q332360,,
Q332360,Denis Healey,1972-04-19,1974-03-04,Q323488,Q333896,,
Q333896,Robert Carr,1974-03-04,1975-02-11,Q332360,Q332323,,
Q332323,Geoffrey Howe,1975-02-11,1979-05-04,Q333896,Q332360,,
Q332360,Denis Healey,1979-05-04,1980-12-08,Q332323,Q7176922,,
Q7176922,Peter Shore,1980-12-08,1983-10-31,Q332360,Q333692,,
Q333692,Roy Hattersley,1983-10-31,1987-07-13,Q7176922,Q332377,,
Q332377,John Smith (Labour Party leader),1987-07-13,1992-07-24,Q333692,Q10648,,
Q10648,Gordon Brown,1992-07-24,1997-05-02,Q332377,Q271889,,
Q271889,Kenneth Clarke,1997-05-02,1997-06-11,Q10648,Q19831,,
Q19831,Peter Lilley,1997-06-11,1998-06-02,Q271889,Q333986,,
Q333986,Francis Maude,1998-06-02,2000-02-01,Q19831,Q333525,,
Q333525,Michael Portillo,2000-02-01,2001-09-18,Q333986,Q325381,,
Q325381,Michael Howard,2001-09-18,2003-11-06,Q333525,Q333480,,
Q333480,Oliver Letwin,2003-11-06,2005-05-10,Q325381,Q332493,,
Q332493,George Osborne,2005-05-10,2010-05-11,Q333480,Q296639,,
Q296639,Alistair Darling,2010-05-11,2010-10-08,Q332493,Q332336,,
Q332336,Alan Johnson,2010-10-08,2011-01-20,Q296639,Q260464,,
Q260464,Ed Balls,2011-01-20,2015-05-08,Q332336,Q749759,,
Q749759,Chris Leslie,2015-05-11,2015-09-12,Q260464,Q694695,,
Q694695,John McDonnell,2015-09-13,2020-04-04,Q749759,Q16529268,,
Q16529268,Anneliese Dodds,2020-04-05,,Q694695,,,
